"Country","7321-1","7321-2","7321-3","7321-4","7351-1","7351-2","7351-3","7351-4","7363-1","7363-2","7363-3","7363-4","7982-1","7982-2","7982-3","7982-4","7761-CM-1","7761-CM-2","7761-CM-3","7761-CM-4","7762-INT-1","7762-INT-2","7762-INT-3","7762-INT-4","7782-1","7782-2","7782-3","7782-4","7782-N-1","7782-N-2","7782-N-3","7782-N-4","7782-S-1","7782-S-2","7782-S-3","7782-S-4"
"KU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LV",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"LB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LI",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,20,,15,15,20,,16,16,20,,16,16,20,,16,16,20,
"LT",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,20,,15,15,20,,16,16,20,,16,16,20,,16,16,20,
"LU",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,20,,15,15,20,,16,16,20,,16,16,20,,16,16,20,
"MO",17,17,,17,17,17,,17,16,16,,16,14,14,,14,11,11,,11,14,14,,14,14,14,,14,4,4,,4,9,9,,9
"MK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MY",21,21,,21,20,20,,18,20,20,,18,21,21,,21,19,19,,19,21,21,,20,21,21,,21,12,12,,12,17,17,,17
"MT",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,20,,15,15,20,,16,16,20,,16,16,20,,16,16,20,
"MX",18,21,,21,18,20,,18,17,20,,18,15,21,,21,12,19,,20,15,21,,20,15,21,,21,5,12,,18,10,17,,21
"MC",13,13,,,13,13,,,12,12,,,10,10,,,7,7,,,10,10,,,10,10,,,0,0,,,5,5,,
"MA",18,18,21,,18,18,19,,17,17,19,,15,15,21,,12,12,19,,15,15,21,,15,15,21,,5,5,12,,10,10,17,
"MU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NL",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"NZ",18,18,21,21,18,18,19,18,17,17,19,18,15,15,21,21,12,12,19,20,15,15,21,20,15,15,21,21,5,5,12,18,10,10,17,21
"KP",,,,17,,,,17,,,,16,,,,14,,,,11,,,,14,,,,14,,,,4,,,,9
"NO",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"OM",18,18,,21,18,18,,18,17,17,,18,15,15,,21,12,12,,19,15,15,,20,15,15,,21,5,5,,12,10,10,,17
"PK",,,,18,,,,18,,,,17,,,,15,,,,12,,,,15,,,,15,,,,5,,,,10
"PA",12,17,17,,12,17,17,,11,16,16,,9,14,14,,6,11,11,,9,14,14,,9,14,14,,-1,4,4,,4,9,9,
"PE",,,,17,,,,17,,,,16,,,,14,,,,11,,,,14,,,,14,,,,4,,,,9
"PH",18,18,19,19,18,18,19,18,17,17,18,18,15,15,16,16,12,12,13,13,15,15,16,16,15,15,16,16,5,5,6,6,10,10,11,11
"PL",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"PT",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"PR",12,17,17,,12,17,17,,11,16,16,,9,14,14,,6,11,11,,9,14,14,,9,14,14,,-1,4,4,,4,9,9,
"QA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21,,,,18,,,,18,,,,21,,,,20,,,,20,,,,21,,,,21,,,,21
,,21,21,21,,20,19,18,,20,19,18,,21,21,21,,19,19,20,,21,21,20,,21,21,21,,12,12,18,,17,17,21
"RO",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"RU",15,15,15,15,15,15,15,15,14,14,14,14,12,12,12,12,9,9,9,9,12,12,12,12,12,12,12,12,2,2,2,2,7,7,7,7
"SA",18,18,21,,18,18,19,,17,17,19,,15,15,21,,12,12,19,,15,15,21,,15,15,21,,5,5,12,,10,10,17,
"SG",18,18,,21,18,18,,18,17,17,,18,15,15,,21,12,12,,19,15,15,,20,15,15,,21,5,5,,12,10,10,,17
"SK",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"SI",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"ZA",18,18,21,21,18,18,19,18,17,17,19,18,15,15,21,21,12,12,19,20,15,15,21,20,15,15,21,21,5,5,12,18,10,10,17,21
"ES",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"LK",18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,12,12,12,12,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16
"SE",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"CH",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"SY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TW",,18,21,21,,18,19,18,,17,19,18,,16,21,21,,12,19,20,,15,21,20,,16,21,21,,16,12,18,,16,17,21
"TH",18,18,21,21,18,18,19,18,17,17,19,18,15,15,21,21,12,12,19,19,15,15,21,20,15,15,21,21,5,5,12,12,10,10,17,17
"TT",18,18,21,21,18,18,19,18,17,17,19,18,16,16,21,21,12,12,19,19,15,15,21,20,16,16,21,21,16,16,12,12,16,16,17,17
"TN",17,15,,,17,15,,,16,14,,,14,12,,,11,9,,,14,12,,,14,12,,,4,2,,,9,7,,
"TR",18,18,21,,18,18,19,,17,17,19,,16,16,21,,12,12,19,,15,15,21,,16,16,21,,16,16,12,,16,16,17,
"UA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",18,18,21,21,18,18,19,18,17,17,19,18,15,15,21,21,12,12,19,19,15,15,21,20,15,15,21,21,5,5,12,12,10,10,17,17
"GB",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"US",15,21,21,21,15,20,19,18,15,20,19,18,14,20,20,21,12,19,19,20,15,21,21,20,14,20,20,21,14,20,20,18,14,20,20,21
"UY",21,21,21,21,20,20,19,18,20,20,19,18,21,21,21,21,21,21,21,20,21,21,21,20,21,21,21,21,18,18,18,18,21,21,21,21
"UZ",12,15,15,17,12,15,15,17,11,14,14,16,9,12,12,14,6,9,9,11,9,12,12,14,9,12,12,14,-1,2,2,4,4,7,7,9
"VE",,,,17,,,,17,,,,16,,,,14,,,,11,,,,14,,,,14,,,,4,,,,9
"VN",18,18,,,18,18,,,17,17,,,15,15,,,12,12,,,15,15,,,15,15,,,5,5,,,10,10,,
"YE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
